id,microchip,species,sex,size,potentDangerous,neighborhood
0134511-CHGF,978101081154310,CANINO,HEMBRA,GRANDE,false,SUBA
0135291-FHPF,978101081925310,FELINO,HEMBRA,PEQUEÑO,false,R. URIBE
0135311-CMGF,991001001135310,CANINO,MACHO,GRANDE,false,SUBA
0136001-CMMF,966000101006310,CANINO,MACHO,MEDIANO,false,FONTIBON
0136950-FMPF,900250000596310,FELINO,MACHO,PEQUEÑO,false,C. BOLIVAR
0137311-CHMF,966000101137310,CANINO,HEMBRA,MEDIANO,false,KENNEDY
0138191-FMMF,978101081918310,FELINO,MACHO,MEDIANO,false,USAQUEN
0138291-CMPF,978101081928310,CANINO,MACHO,PEQUEÑO,false,USAQUEN
0138401-CHGF,978101081048310,CANINO,HEMBRA,GRANDE,false,ENGATIVA
0139590-CMMIF,991001000959310,CANINO,MACHO,MINIATURA,false,SAN CRISTOBAL
0139880-CHMF,991001000889310,CANINO,HEMBRA,MEDIANO,false,SUBA
0140211-CHPF,966000101120410,CANINO,HEMBRA,PEQUEÑO,false,MUNICIPIOS ALEDAÑOS BOGOTA D.C.
0140291-CMPF,978101081920410,CANINO,MACHO,PEQUEÑO,false,B. UNIDOS
0143021-CMGF,941000021203410,CANINO,MACHO,GRANDE,false,ENGATIVA
0144291-CMGF,978101081924410,CANINO,MACHO,GRANDE,false,ENGATIVA
0144421-FHPF,978101081244410,FELINO,HEMBRA,PEQUEÑO,false,KENNEDY
0145311-CHMIT,966000101135410,CANINO,HEMBRA,MINIATURA,true,ENGATIVA
0146291-CHGF,978101081926410,CANINO,HEMBRA,GRANDE,false,FONTIBON
0146311-FMMIF,966000101136410,FELINO,MACHO,MINIATURA,false,SAN CRISTOBAL
0147291-CMMIF,978101081927410,CANINO,MACHO,MINIATURA,false,KENNEDY
0148191-CHMF,978101081918410,CANINO,HEMBRA,MEDIANO,false,BOSA
0148221-CHPF,978101081228410,CANINO,HEMBRA,PEQUEÑO,false,TUNJUELITO
0148311-CMMF,966000101138410,CANINO,MACHO,MEDIANO,false,SAN CRISTOBAL
0148401-FHMF,978101081048410,FELINO,HEMBRA,MEDIANO,false,C. BOLIVAR
0148950-CHMIF,900250000598410,CANINO,HEMBRA,MINIATURA,false,USME
0149311-CMMF,966000101139410,CANINO,MACHO,MEDIANO,false,C. BOLIVAR
0150291-CMGF,978101081920510,CANINO,MACHO,GRANDE,false,KENNEDY
0150601-CMGT,966000101060510,CANINO,MACHO,GRANDE,true,FONTIBON
0150731-CHPF,941000021370510,CANINO,HEMBRA,PEQUEÑO,false,ENGATIVA
0151840-CMPF,900250000481510,CANINO,MACHO,PEQUEÑO,false,ENGATIVA
0152240-CMMIF,900113000422510,CANINO,MACHO,MINIATURA,false,KENNEDY
0152511-CMMF,978101081152510,CANINO,MACHO,MEDIANO,false,MUNICIPIOS ALEDAÑOS BOGOTA D.C.
0153021-FHPF,941000021203510,FELINO,HEMBRA,PEQUEÑO,false,ENGATIVA
0153081-FHPF,978101081803510,FELINO,HEMBRA,PEQUEÑO,false,USME
0153601-FHPF,966000101063510,FELINO,HEMBRA,PEQUEÑO,false,USME
0153872-CMMF,941000012783510,CANINO,MACHO,MEDIANO,false,USAQUEN
0154142-CHPF,981100002414510,CANINO,HEMBRA,PEQUEÑO,false,USAQUEN
0154421-CHPF,978101081244510,CANINO,HEMBRA,PEQUEÑO,false,P. ARANDA
0155311-CMGF,966000101135510,CANINO,MACHO,GRANDE,false,TUNJUELITO
0156001-CHGF,966000101006510,CANINO,HEMBRA,GRANDE,false,C. BOLIVAR
0156291-FHPF,978101081926510,FELINO,HEMBRA,PEQUEÑO,false,C. BOLIVAR
0156950-CMPF,900250000596510,CANINO,MACHO,PEQUEÑO,false,KENNEDY
0157431-CMMF,978101081347510,CANINO,MACHO,MEDIANO,false,SUMAPAZ
0157501-CHMF,966000101057510,CANINO,HEMBRA,MEDIANO,false,C. BOLIVAR
0157950-CMGF,900250000597510,CANINO,MACHO,GRANDE,false,SAN CRISTOBAL
0157971-CHMF,978101081797510,CANINO,HEMBRA,MEDIANO,false,C. BOLIVAR
0158291-CMMF,978101081928510,CANINO,MACHO,MEDIANO,false,C. BOLIVAR
0158311-CHMF,966000101138510,CANINO,HEMBRA,MEDIANO,false,ENGATIVA
0158611-CHPF,966000101168510,CANINO,HEMBRA,PEQUEÑO,false,BOSA
0158950-FMMF,900250000598510,FELINO,MACHO,MEDIANO,false,USME
0159191-CHPF,978101081919510,CANINO,HEMBRA,PEQUEÑO,false,BOSA
0160291-CMMF,978101081920610,CANINO,MACHO,MEDIANO,false,P. ARANDA
0160511-FMMF,978101081150610,FELINO,MACHO,MEDIANO,false,USAQUEN
0161501-CMMF,978101081051610,CANINO,MACHO,MEDIANO,false,P. ARANDA
0161840-CHPF,900250000481610,CANINO,HEMBRA,PEQUEÑO,false,ENGATIVA
0162240-CMPF,900113000422610,CANINO,MACHO,PEQUEÑO,false,BOSA
0162501-CMMF,978101081052610,CANINO,MACHO,MEDIANO,false,ENGATIVA
0162840-CHMIF,900250000482610,CANINO,HEMBRA,MINIATURA,false,SAN CRISTOBAL
0163021-CMMF,941000021203610,CANINO,MACHO,MEDIANO,false,KENNEDY
0163601-CMMF,966000101063610,CANINO,MACHO,MEDIANO,false,TUNJUELITO
0164291-CMPF,978101081924610,CANINO,MACHO,PEQUEÑO,false,P. ARANDA
0166291-CMMF,978101081926610,CANINO,MACHO,MEDIANO,false,KENNEDY
0166311-CMPF,966000101136610,CANINO,MACHO,PEQUEÑO,false,SAN CRISTOBAL
0166950-FHPF,900250000596610,FELINO,HEMBRA,PEQUEÑO,false,A. NARINO
0166971-CMGF,978101081796610,CANINO,MACHO,GRANDE,false,C. BOLIVAR
0167034-CHMF,941000014307610,CANINO,HEMBRA,MEDIANO,false,SANTA FE
0167291-CHPF,978101081927610,CANINO,HEMBRA,PEQUEÑO,false,C. BOLIVAR
0167950-CMGF,900250000597610,CANINO,MACHO,GRANDE,false,C. BOLIVAR
0168311-CMMF,966000101138610,CANINO,MACHO,MEDIANO,false,TUNJUELITO
0168401-CHMF,978101081048610,CANINO,HEMBRA,MEDIANO,false,P. ARANDA
0169191-CMPF,978101081919610,CANINO,MACHO,PEQUEÑO,false,ENGATIVA
0170291-CMPF,978101081920710,CANINO,MACHO,PEQUEÑO,false,C. BOLIVAR
0171081-FHPF,978101081801710,FELINO,HEMBRA,PEQUEÑO,false,P. ARANDA
0172511-FHPF,978101081152710,FELINO,HEMBRA,PEQUEÑO,false,USME
0172840-CHMF,900250000482710,CANINO,HEMBRA,MEDIANO,false,KENNEDY
0173001-CMPF,966000101003710,CANINO,MACHO,PEQUEÑO,false,C. BOLIVAR
0173311-CHGF,966000101133710,CANINO,HEMBRA,GRANDE,false,C. BOLIVAR
0173511-FMMF,978101081153710,FELINO,MACHO,MEDIANO,false,USME
0174421-FMGF,978101081244710,FELINO,MACHO,GRANDE,false,ENGATIVA
0174511-CHMF,978101081154710,CANINO,HEMBRA,MEDIANO,false,SUBA
0176291-CMMF,978101081926710,CANINO,MACHO,MEDIANO,false,ENGATIVA
0177291-FHPF,978101081927710,FELINO,HEMBRA,PEQUEÑO,false,SUBA
0177501-CMGF,966000101057710,CANINO,MACHO,GRANDE,false,SUBA
0178311-CHMF,966000101138710,CANINO,HEMBRA,MEDIANO,false,ENGATIVA
0178950-FMMIF,900250000598710,FELINO,MACHO,MINIATURA,false,SUBA
0179411-FMMIF,978101081149710,FELINO,MACHO,MINIATURA,false,CHAPINERO
0179971-CMMIF,978101081799710,CANINO,MACHO,MINIATURA,false,KENNEDY
0180081-FHPF,978101081800810,FELINO,HEMBRA,PEQUEÑO,false,C. BOLIVAR
0181001-FMMF,966000101001810,FELINO,MACHO,MEDIANO,false,BOSA
